id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,concept_concat_sgtrt5_dtype_constraints,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_lof_sgtrt5,reconstruction_error_lof_glove,reconstruction_error_01lof_sgtrt5,reconstruction_error_01lof_glove,reconstruction_error_pca2_glove,reconstruction_error_pca5_glove,reconstruction_error_pca2_sgtrt5,reconstruction_error_pca5_sgtrt5,reconstruction_error_01pca2_glove,reconstruction_error_01pca5_glove,reconstruction_error_01pca40_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01pca5_sgtrt5,reconstruction_error_01pca55_sgtrt5,reconstruction_error_01ae_v0_glove,reconstruction_error_01ae_v0_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC
CONCEPT_3,region id,CONCEPT_2,regions,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,region id:regions:HR_ORACLE,regions region id,regions region id numeric primary key,0.8674633,0.7498218640231367,1.0613786,1.00522369766382,1.054675,1.0866894988627072,0.1087629673687054,0.0661144951414209,0.0006667189,0.00034259292,0.0511139019978422,0.0432754239355434,0.0011857992855467,0.042531323,0.022463495,0.001720421,717.80005,885.342,868.33344,1066.3125,0.6223371248335093,0.5486101943650514
CONCEPT_4,region name,CONCEPT_2,regions,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,region name:regions:HR_ORACLE,regions region name,regions region name text,0.93759793,0.7727787953506511,1.1238973,1.0290972467611896,1.1230073,1.10240181546831,0.0940424020579143,0.0930710854878255,0.00072765467,0.00050552405,0.0477365581309385,0.0446175193888005,0.0011741647447713,0.047439802,0.033829898,0.0022461202,700.441,938.06,854.7685,1121.8606,0.802543415400598,0.688932365213563
CONCEPT_6,country id,CONCEPT_5,countries,HR_ORACLE,0,0,0,0,1,0,0,0,0,0,country id:countries:HR_ORACLE,countries country id,countries country id primary key,0.86899716,0.7355185487995378,1.0689639,1.008052367851206,1.0745503,1.1059962912672652,0.1024682365481266,0.0640271534486467,0.0006598236,0.00035034269,0.0459387027278793,0.0404210571128705,0.0016325262191104,0.043027956,0.023194617,0.0017720858,669.043,911.4276,810.324,1096.4003,0.6573061884388474,0.575723640183996
CONCEPT_7,country name,CONCEPT_5,countries,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,country name:countries:HR_ORACLE,countries country name,countries country name text,0.93888885,0.7590606473808743,1.1012939,1.0283436940958974,1.0947077,1.163457301046713,0.090500317574024,0.0901246103401046,0.00073440204,0.00054855907,0.0434796349268724,0.0413170594349591,0.0014868956146636,0.04777795,0.03667466,0.002727719,654.6721,947.2551,800.6881,1138.1232,0.8024978313500838,0.6814828355767306
CONCEPT_8,region id,CONCEPT_5,countries,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,region id:countries:HR_ORACLE,countries region id,countries region id numeric foreign key,0.88388747,0.8855664369240837,1.0606996,1.0911064331361071,1.0597782,1.1505814631928115,0.154604867912326,0.1201950641763359,0.00066484604,0.0003065992,0.0563868470277255,0.0503030515792271,0.0019344240852223,0.04373959,0.020762118,0.0022116108,736.94556,903.5758,887.9712,1092.2142,0.6585828747969396,0.6370075238037914
CONCEPT_10,location id,CONCEPT_9,locations,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,location id:locations:HR_ORACLE,locations location id,locations location id numeric primary key,0.8453646,0.7744147118190718,1.0417417,1.040714119536658,1.0578275,1.0675187346386052,0.1303903826587569,0.085498753683624,0.0005753665,0.0002817257,0.0407655201243848,0.0281175641044953,0.0050200174845368,0.037293885,0.01912164,0.002831336,649.94775,831.70703,783.5054,1035.5541,0.5276378541183944,0.48148971336321095
CONCEPT_11,street address,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,street address:locations:HR_ORACLE,locations street address,locations street address text,0.93113256,0.8930090817239774,1.0348682,1.1135272846266282,1.0461612,1.029804633518196,0.1611608175746556,0.1547242955095564,0.00068687444,0.0005391521,0.0473467894130463,0.034875513880313,0.0066038346150726,0.044719815,0.035440292,0.0049884724,689.4391,885.56934,828.66644,1081.0518,0.6671627572093151,0.614936346015041
CONCEPT_12,postal code,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,postal code:locations:HR_ORACLE,locations postal code,locations postal code text,0.89481336,0.8455037431835173,1.0243822,1.1113714939107284,1.0302799,1.0527298684088686,0.1514158192373714,0.1412686017421208,0.0006469474,0.00042444616,0.0432768876701459,0.0325553244343835,0.0019090673326964,0.041985136,0.027765846,0.0032809742,661.0675,880.3457,795.8194,1084.0146,0.6210774302040805,0.5727052776639072
CONCEPT_13,city,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,city:locations:HR_ORACLE,locations city,locations city text,0.90125686,0.7265171496234374,1.0419197,1.0340302763736702,1.0377951,1.0125759913844958,0.0923893187504844,0.0865311528087214,0.0006247497,0.00041524073,0.0336972281356179,0.0244064319584574,0.0015560700031403,0.04009355,0.028141566,0.003219724,610.8986,859.83264,750.0724,1067.386,0.6166852774460521,0.5075309192681193
CONCEPT_14,state province,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,state province:locations:HR_ORACLE,locations state province,locations state province text,0.92255884,0.9288588858517898,1.0866218,1.1500814166344435,1.090719,1.0512323566750366,0.206471708779775,0.1940584151503629,0.0007545154,0.0005198704,0.0513893094119691,0.0400591708369745,0.0058616886731759,0.04925893,0.035078164,0.00384342,714.4885,955.18616,849.38916,1145.5464,0.7923818348953833,0.7632643202759608
