id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_lof_sgtrt5,reconstruction_error_lof_glove,reconstruction_error_01pca2_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC,concept_concat_schema_instances_sgtrt5,reconstruction_error_zscore_sgtrt5_si,reconstruction_error_01lof_sgtrt5_si,reconstruction_error_01pca2_sgtrt5_si,reconstruction_error_01ae_v0_sgtrt5_si_b10
CONCEPT_46,customer id,CONCEPT_45,customers,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,customer id:customers:OC_ORACLE,customers customer id,0.6667531,0.5657892516702704,0.98392254,0.9965044592071892,0.0270014292600744,0.024079897,716.4464,993.9355,0.172385359553478,0.2058610395834694,"customers customer id (22, 261, 310, 379, 367)",0.68343735,0.985537,0.01978532,1748.9603
CONCEPT_47,email address,CONCEPT_45,customers,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,email address:customers:OC_ORACLE,customers email address,0.8024092,0.8272627567570464,1.0126902,1.1065642978893802,0.0422642767149374,0.03076989,837.09595,1073.8628,0.4306432553028361,0.4069887441184162,"customers email address (dania.grizzard@internalmail, adan.lamica@internalmail, frank.perez@internalmail, margaret.bennett@internalmail, james.smith@internalmail)",0.8324544,1.2135507,0.037994605,1914.6456
CONCEPT_48,full name,CONCEPT_45,customers,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,full name:customers:OC_ORACLE,customers full name,0.7682667,0.6490732078956273,1.0158532,1.0172853269424436,0.0302535799505226,0.030647667,730.1194,1037.6079,0.3109610457578612,0.3632241820679733,"customers full name (Chassidy Hinderaker, Dorathy Hutchings, Michael Marker, Leon Schoepfer, Scotty Goffredo)",0.88547283,1.1155655,0.038254738,1972.8529
CONCEPT_50,store id,CONCEPT_49,stores,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,store id:stores:OC_ORACLE,stores store id,0.79673845,0.678303230203719,1.0679675,1.0187142498395554,0.0440868914379214,0.03801916,844.6332,1042.8988,0.4080757636397056,0.4623932452967433,"stores store id (10, 16, 9, 11, 8)",0.72239184,1.0244572,0.026903572,1813.7329
CONCEPT_51,store name,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,store name:stores:OC_ORACLE,stores store name,0.8325209,0.6831428885554802,1.0655711,1.0158885238987747,0.0378385522791024,0.03755871,817.47534,1061.4814,0.4183778129388471,0.4927430170302216,"stores store name (Mexico City, Sydney, London, Madrid, Online)",0.9271619,1.1011428,0.041477192,2096.7642
CONCEPT_52,web address,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,web address:stores:OC_ORACLE,stores web address,0.9355486,0.858943188476447,1.1354569,1.1787341183879427,0.0484467965039927,0.04856376,905.43634,1190.5438,0.7334843048778176,0.776936148190007,stores web address (nan),0.8892425,1.0289735,0.033769824,2076.9907
CONCEPT_53,physical address,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,physical address:stores:OC_ORACLE,stores physical address,0.8811746,0.8615539802020498,1.069852,1.209263486431439,0.0508501117972348,0.044128265,897.55023,1124.9475,0.6008784390752154,0.6084095706303231,"stores physical address (First International Financial Center     Unit No. 501, Level 5     No. C54 1, G Block     Bandra Kurla Complex     CTS No. 4207, Kolekalyan Village     Mumbai - 400 051     India, 205 Lexington Ave     7th Floor     New York, NY 10016, Hertogswetering 163-167, 3543 AS Utrecht, Netherlands, 2 Chome-5-? Kitaaoyama, Minato City, Tokyo 107-0061, Japan, Montes Urales # 470 P3 Col. Lomas de Chapultepec Delegacion Miguel Hidalgo - C.P. 11000)",0.8273093,1.1523288,0.03571938,2022.5809
CONCEPT_54,latitude,CONCEPT_49,stores,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,latitude:stores:OC_ORACLE,stores latitude,0.9216214,0.8463975552708063,1.0847912,1.150174635772696,0.0523226101936124,0.047147095,918.9568,1140.6119,0.6375847138872617,0.6790720105025023,"stores latitude (nan, 41.878751, 52.103263, 40.745216, 32.100664)",0.8372987,1.160349,0.03962737,1983.9907
CONCEPT_55,longitude,CONCEPT_49,stores,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,longitude:stores:OC_ORACLE,stores longitude,0.94762427,0.8607168269942781,1.1256509,1.1824782364238524,0.0519180534402883,0.04912899,908.4258,1130.7025,0.6840574125721902,0.7341979850053622,"stores longitude (77.220135, 72.870143, 139.718584, 116.290061, -122.267237)",0.8929011,1.2304953,0.04471268,2014.8604
CONCEPT_56,logo,CONCEPT_49,stores,OC_ORACLE,0,0,0,1,0,0,0,0,0,0,logo:stores:OC_ORACLE,stores logo,0.8932374,0.7933376030295617,1.1179122,1.0805746192294217,0.0463574976167811,0.04377666,884.2013,1125.8137,0.610742425172116,0.6632801298712403,stores logo ((BLOB)),0.92528445,1.1577364,0.042340722,2093.4453
CONCEPT_57,logo mime type,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,logo mime type:stores:OC_ORACLE,stores logo mime type,0.93585616,1.0092971963801542,1.1559122,1.2326450088775185,0.0629850319580079,0.04517272,991.262,1152.7625,0.785123284320404,0.7464374947129178,stores logo mime type (nan),0.88098305,1.036541,0.025304051,2056.2893
CONCEPT_58,logo filename,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,logo filename:stores:OC_ORACLE,stores logo filename,0.8984652,0.911532906289606,1.1086017,1.1454427693777791,0.0541651190084982,0.04167704,949.8087,1113.0024,0.63861704336248,0.6297480367519166,stores logo filename (nan),0.8488312,1.0107961,0.019806005,2007.535
CONCEPT_59,logo charset,CONCEPT_49,stores,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,logo charset:stores:OC_ORACLE,stores logo char set,0.8992045,0.9922548963366328,1.1351357,1.2507030378753272,0.0625553348597304,0.04463445,1011.6015,1115.4729,0.7284661567684444,0.6758633538121982,stores logo char set (nan),0.8424058,1.0224062,0.025487004,1997.345
CONCEPT_60,logo last updated,CONCEPT_49,stores,OC_ORACLE,0,0,1,0,0,0,0,0,0,0,logo last updated:stores:OC_ORACLE,stores logo last updated,0.8784259,0.990587005790308,1.115327,1.2537645619289526,0.0645883203835375,0.042701814,1001.6697,1103.417,0.6898178527099987,0.6249478838714154,stores logo last updated (nan),0.8355837,1.0098937,0.02222387,1980.4293
CONCEPT_62,product id,CONCEPT_61,products,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,product id:products:OC_ORACLE,products product id,0.7051134,0.6094199719526873,0.9929484,0.9742351258778496,0.0175739596450847,0.016129723,763.0824,966.18555,0.1402399022237268,0.1741568177084202,"products product id (38, 8, 45, 40, 17)",0.6735003,1.0105451,0.021380544,1744.3217
CONCEPT_63,product name,CONCEPT_61,products,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,product name:products:OC_ORACLE,products product name,0.7595353,0.6142596303044486,0.9939086,0.973679093951436,0.0124480640761536,0.015743457,736.7745,982.48425,0.1488257254743759,0.2146139265216783,"products product name (Girl's Shorts (Green), Women's Trousers (Blue), Women's Pyjamas (Grey), Boy's Jeans (Black), Men's Shorts (Black))",0.90119773,1.1753587,0.04418354,2130.0159
CONCEPT_64,unit price,CONCEPT_61,products,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,unit price:products:OC_ORACLE,products unit price,0.8471958,0.7915539891037165,1.0425898,1.1401513871977942,0.0284974821783777,0.033821106,837.14185,1074.2513,0.4469679089580903,0.4712767371423557,"products unit price (39.78, 16.67, 37.34, 34.06, 48.75)",0.78742105,1.0797373,0.034329683,1892.202
CONCEPT_65,product details,CONCEPT_61,products,OC_ORACLE,0,0,0,1,0,0,0,0,0,0,product details:products:OC_ORACLE,products product details,0.736811,0.6422353039694193,0.9954026,0.9782356520803454,0.0162522167455418,0.018736633,754.4362,1009.167,0.2003859292435821,0.2364401549298012,products product details ((BLOB)),0.8193574,1.1244736,0.035219267,1920.8582
CONCEPT_66,product image,CONCEPT_61,products,OC_ORACLE,0,0,0,1,0,0,0,0,0,0,product image:products:OC_ORACLE,products product image,0.7925524,0.7075092179565438,0.99678224,0.9908048862782886,0.0152659957981432,0.019234493,793.44006,1019.536,0.2501693787367512,0.2858385431901971,products product image ((BLOB)),0.85230255,1.1291542,0.036375754,1961.768
CONCEPT_67,image mime type,CONCEPT_61,products,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,image mime type:products:OC_ORACLE,products image mime type,0.9017517,0.9807559970257144,1.0980984,1.2819070269225317,0.0363560914391355,0.037885588,942.42896,1126.7383,0.6630253527151948,0.6183350262967192,products image mime type (nan),0.84401864,1.0124744,0.018270105,2013.6044
CONCEPT_68,image filename,CONCEPT_61,products,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,image filename:products:OC_ORACLE,products image filename,0.80263734,0.8671669412902544,1.0262597,1.1483315779025347,0.0264022112444722,0.029546067,894.7435,1061.0221,0.4396920115091076,0.3943309841070106,products image filename (nan),0.8397141,1.0072514,0.016799076,2022.8523
CONCEPT_69,image charset,CONCEPT_61,products,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,image charset:products:OC_ORACLE,products image char set,0.8800685,0.9213811356960108,1.1075996,1.2458532628731762,0.0308596384412005,0.040526804,923.2927,1128.5664,0.6486742945341114,0.6227428918262339,products image char set (nan),0.84481853,1.0082364,0.021272993,2032.8875
CONCEPT_70,image last updated,CONCEPT_61,products,OC_ORACLE,0,0,1,0,0,0,0,0,0,0,image last updated:products:OC_ORACLE,products image last updated,0.79013044,0.9186830632131996,1.0438884,1.3031935425710843,0.0346177168352972,0.029709369,913.52106,1020.56104,0.4539498970338766,0.3724455250820592,products image last updated (nan),0.80266124,1.0054195,0.017078608,1926.0161
CONCEPT_72,order id,CONCEPT_71,orders,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,order id:orders:OC_ORACLE,orders order id,0.71776146,0.6915336973656349,0.97353166,1.0052118744988492,0.0355770580956526,0.014175261,778.7759,976.64044,0.1645781232638789,0.161553222799036,"orders order id (1101, 171, 1494, 1945, 946)",0.73764896,1.0094866,0.024533568,1815.506
CONCEPT_73,order datetime,CONCEPT_71,orders,OC_ORACLE,0,0,1,0,0,0,0,0,0,0,order datetime:orders:OC_ORACLE,orders order date time,0.8135411,0.9301527390568776,1.0554441,1.1983295085938623,0.0584096328800568,0.03212884,909.4828,1041.3147,0.5054932469759473,0.4325582514994343,"orders order date time (06-MAR-19 12.36.19.692532000 PM, 12-MAR-19 12.49.36.705140000 PM, 24-JAN-19 07.19.32.303101000 AM, 25-JAN-19 06.35.35.748511000 PM, 03-MAR-19 09.15.47.418670000 AM)",0.73243076,1.0647525,0.028932637,1825.1588
CONCEPT_74,customer id,CONCEPT_71,orders,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,customer id:orders:OC_ORACLE,orders customer id,0.64042044,0.73931864362262,0.9850992,1.025207419847506,0.0392243747224482,0.00872329,810.64465,955.01825,0.1564703590899966,0.0782190477398404,"orders customer id (136, 170, 44, 168, 17)",0.6108792,0.9916876,0.010602623,1677.0149
CONCEPT_75,order status,CONCEPT_71,orders,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,order status:orders:OC_ORACLE,orders order status,0.7865365,0.7439906756462329,1.0542324,1.039618718317756,0.0401889565624489,0.029126465,788.173,989.56616,0.3450398188685477,0.3569159444978981,orders order status (REFUNDED),0.8989692,1.1694657,0.043983515,1979.9344
CONCEPT_76,store id,CONCEPT_71,orders,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,store id:orders:OC_ORACLE,orders store id,0.6639721,0.7279053417331368,0.98253864,1.0224716351225245,0.0400247289126829,0.01904993,805.867,937.9902,0.1822339404227339,0.1251719931284438,"orders store id (15, 5, 2, 20, 8)",0.6811021,1.0048198,0.01988648,1795.9458
CONCEPT_78,shipment id,CONCEPT_77,shipments,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,shipment id:shipments:OC_ORACLE,shipments shipment id,0.81133205,0.7655947035910277,1.1138749,0.9889419717047434,0.0583513010855308,0.03858481,892.2405,1018.305,0.4756659677377247,0.4914404519467011,"shipments shipment id (1536, 907, 745, 38, 1210)",0.7193396,1.0621533,0.025340423,1712.0007
CONCEPT_79,store id,CONCEPT_77,shipments,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,store id:shipments:OC_ORACLE,shipments store id,0.7765811,0.8730799216560738,1.0971352,1.057715276406792,0.066981342264775,0.03632699,936.7479,971.86975,0.4666173650165055,0.401490178046724,shipments store id (1),0.8225095,1.1207376,0.03783929,1833.3682
CONCEPT_80,customer id,CONCEPT_77,shipments,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,customer id:shipments:OC_ORACLE,shipments customer id,0.6995182,0.8844932235455572,1.0398299,1.0501109201179228,0.0671474853693433,0.025299095,941.8008,940.42926,0.3468446424318082,0.2265843042122184,"shipments customer id (350, 362, 78, 339, 319)",0.6879527,1.0135776,0.021655587,1715.507
CONCEPT_81,delivery address,CONCEPT_77,shipments,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,delivery address:shipments:OC_ORACLE,shipments delivery address,0.9105458,0.966389748456376,1.1216983,1.0830145635279445,0.0694942035333824,0.04918763,972.6859,1102.0582,0.7150078085004423,0.6837626939244484,"shipments delivery address (Brush Creek, TN 38547 USA, Dorchester, IA 52140 USA, Walford, IA 52351 USA, Inwood, NY 11096 USA, Salisbury, PA 15558 USA)",0.8625811,1.2540001,0.039915055,1964.6631
CONCEPT_82,shipment status,CONCEPT_77,shipments,OC_ORACLE,0,1,0,0,0,0,0,0,0,0,shipment status:shipments:OC_ORACLE,shipments shipment status,0.9150331,0.810931775079398,1.1534723,1.083735562109832,0.058880321914069,0.049858365,898.51587,1072.9861,0.6345285547693946,0.6912574900920093,shipments shipment status (DELIVERED),0.9303152,1.1724188,0.048002828,1975.8823
CONCEPT_84,order id,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,order id:order items:OC_ORACLE,order items order id,0.712997,0.8414711645810593,0.9774573,1.0049132792380062,0.0470328915004568,0.017687928,895.499,972.72174,0.2632949765122352,0.1751432030187101,"order items order id (908, 85, 458, 130, 48)",0.6507152,0.98247296,0.017416945,1725.4021
CONCEPT_85,line item id,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,line item id:order items:OC_ORACLE,order items line item id,0.7464378,1.014102801701326,1.0385243,1.1177799818670675,0.0596972753803661,0.027071783,988.2529,1003.0006,0.4742538163275162,0.3127827567476863,order items line item id (3),0.8039482,1.121642,0.03351376,1935.386
CONCEPT_86,product id,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,product id:order items:OC_ORACLE,order items product id,0.63660496,0.8517979888649715,0.9839115,1.0047139910398633,0.0484990893842712,0.010845702,913.865,912.0813,0.1908288364972399,0.0485644053979331,"order items product id (32, 3, 8, 16, 15)",0.6454708,0.9997548,0.014696953,1735.9446
CONCEPT_87,unit price,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,unit price:order items:OC_ORACLE,order items unit price,0.7879513,0.9531871250116112,1.0799518,1.033058796073202,0.057755149959665,0.036338106,952.4758,1020.56287,0.5379794966552627,0.4361986651816212,"order items unit price (48.39, 24.71, 23.32, 30.69, 11.0)",0.7280774,1.0643691,0.027311713,1823.7676
CONCEPT_88,quantity,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,quantity:order items:OC_ORACLE,order items quantity,0.7593408,0.7929051988325062,1.0407335,1.081343436583529,0.0461350754584361,0.03127194,870.0836,1004.11926,0.3768016769358504,0.344641526836383,"order items quantity (2, 4, 3, 5, 1)",0.7597446,1.075467,0.031290773,1872.741
CONCEPT_89,shipment id,CONCEPT_83,order items,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,shipment id:order items:OC_ORACLE,order items shipment id,0.71816343,0.908389257564872,1.0253491,1.0219754482493253,0.0512463155867058,0.022681652,937.7321,970.4744,0.3635210364818115,0.2420026387466728,"order items shipment id (246.0, 1770.0, 1786.0, 123.0, 506.0)",0.67477417,1.0063738,0.020229027,1746.6282
CONCEPT_91,inventory id,CONCEPT_90,inventory,OC_ORACLE,1,0,0,0,1,0,0,0,0,0,inventory id:inventory:OC_ORACLE,inventory inventory id,0.91437083,0.729711784477234,1.1092339,1.0101372460921516,0.0528433586213831,0.049062025,846.2312,1130.2899,0.6004414659594397,0.7012257614412803,"inventory inventory id (41, 481, 225, 243, 196)",0.78012925,1.0621932,0.029231148,1874.8877
CONCEPT_92,store id,CONCEPT_90,inventory,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,store id:inventory:OC_ORACLE,inventory store id,0.842797,0.8371970025422802,1.095609,1.0310837877942975,0.0612441011620436,0.042176764,890.6411,1064.4442,0.5586043643450271,0.5551291295779767,"inventory store id (1, 19, 16, 22, 5)",0.7811515,1.0370923,0.030030346,1924.1516
CONCEPT_93,product id,CONCEPT_90,inventory,OC_ORACLE,1,0,0,0,0,1,0,0,0,0,product id:inventory:OC_ORACLE,inventory product id,0.74542904,0.8104566654816235,1.0407109,1.0250047511367668,0.059690283433985,0.025576502,882.9554,989.28687,0.3564706146939498,0.3058747657221534,"inventory product id (45, 29, 44, 42, 8)",0.7200672,1.0135511,0.02348929,1770.392
CONCEPT_94,product inventory,CONCEPT_90,inventory,OC_ORACLE,1,0,0,0,0,0,0,0,0,0,product inventory:inventory:OC_ORACLE,inventory product inventory,0.8180609,0.7595540754583244,1.063176,1.066737851999784,0.0532851512741917,0.029201237,836.76624,1025.6068,0.3874925403878829,0.4108431389863073,"inventory product inventory (18, 17, 4, 11, 10)",0.78282714,1.0537486,0.03108345,1872.4877
CONCEPT_97,customernumber,CONCEPT_96,customers,OC_MYSQL,1,0,0,0,0,0,1,0,0,0,customernumber:customers:OC_MYSQL,customers customer number,0.7367254,0.5657534311115174,0.9926737,0.9961964394264752,0.0247365459501266,0.02811634,704.21265,1030.4648,0.2264170261279149,0.3042978533261956,"customers customer number (151, 456, 386, 168, 157)",0.7174724,1.0130916,0.02264949,1825.0702
CONCEPT_98,customername,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,customername:customers:OC_MYSQL,customers customer name,0.737654,0.5718664290710219,1.0003394,0.9829881178809298,0.0244339794797028,0.028001452,700.7331,1030.0164,0.2367935321993647,0.311915966424795,"customers customer name (L'ordine Souveniers, Online Mini Collectables, Gift Depot Inc., Warburg Exchange, Nat�rlich Autos)",0.85613775,1.0677041,0.036290783,1974.4071
CONCEPT_99,contactlastname,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,contactlastname:customers:OC_MYSQL,customers contact lastname,0.75646424,0.8599792766679103,1.0160234,1.1506917972838304,0.045889836753168,0.028437832,856.3194,1040.6738,0.4157489355630632,0.3450348348906079,"customers contact lastname (Tonini, Choi, Dewey, Saavedra, Yoshido)",0.8826742,1.1282536,0.039181527,1991.2843
CONCEPT_100,contactfirstname,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,contactfirstname:customers:OC_MYSQL,customers contact first name,0.7747488,0.8443582242879096,1.0187597,1.167248464304836,0.0455855449321363,0.029870937,836.8558,1052.1798,0.4266091348926926,0.3760474511258077,"customers contact first name (Maria, Mel, Eric, Rachel, Pirkko)",0.902246,1.1114193,0.037377235,2043.9362
CONCEPT_101,phone,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,phone:customers:OC_MYSQL,customers phone,0.7942133,0.7050058197952133,1.0031513,1.0195453401695078,0.0323294116192386,0.031652916,750.47766,1045.4479,0.3352006954637396,0.3732942607505739,"customers phone (2035552570, (171) 555-7555, 2015559350, 04 499 9555, 0555-09555)",0.77211183,1.0748266,0.029821685,1846.8347
CONCEPT_102,addressline1,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,addressline1:customers:OC_MYSQL,customers address line 1,0.7243795,0.7996278864488168,1.0163245,1.1665815226522276,0.041626604170421,0.027564155,821.9201,1028.7593,0.3673554195016827,0.3093369731181684,"customers address line 1 (Magazinweg 7, Forsterstr. 57, �kergatan 24, Taucherstra�e 10, 3 Hagalim Blv.)",0.8667493,1.1595359,0.037190035,1994.533
CONCEPT_103,addressline2,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,0,1,0,0,addressline2:customers:OC_MYSQL,customers address line 2,0.74083996,0.7937762834233032,1.0293714,1.158273087001308,0.0412730202576977,0.029912421,818.4861,1051.7596,0.4040471420788432,0.3596743539473518,"customers address line 2 (815 Pacific Hwy, Alessandro Volta 16, Suite 400, Floor No. 4, Level 3)",0.8359576,1.1824886,0.033479877,1985.8323
CONCEPT_104,city,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,city:customers:OC_MYSQL,customers city,0.81990224,0.6591520162489185,1.0115745,1.0124741506260555,0.0299735025148456,0.031085366,763.7326,1094.7174,0.3647789810968749,0.4442770118487747,"customers city (Strasbourg, Saint Petersburg, Glendale, Nashua, K�ln)",0.9038038,1.0898827,0.037275825,2095.0378
CONCEPT_105,state,CONCEPT_96,customers,OC_MYSQL,0,1,0,0,0,0,0,1,0,0,state:customers:OC_MYSQL,customers state,0.7629474,0.6875243271182179,1.017481,1.0108089793580133,0.0322078242138363,0.031907823,756.5892,1042.6561,0.3409735706920808,0.3688069705982331,"customers state (Victoria, Qu�bec, Osaka, NV, nan)",0.8716814,1.1248382,0.03786186,2045.1532
