id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,refined_instances,concept_concat_info,concept_concat_sgtrt5,concept_concat_schema_instances_sgtrt5
CONCEPT_3,region id,CONCEPT_2,regions,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,4,region id:regions:HR_ORACLE,regions region id,regions region id (4)
CONCEPT_4,region name,CONCEPT_2,regions,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,Asia,region name:regions:HR_ORACLE,regions region name,regions region name (Asia)
CONCEPT_6,country id,CONCEPT_5,countries,HR_ORACLE,0,0,0,0,1,0,0,0,0,0,"CH, DE, ML, JP, KW",country id:countries:HR_ORACLE,countries country id,"countries country id (CH, DE, ML, JP, KW)"
CONCEPT_7,country name,CONCEPT_5,countries,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Nigeria, India, Italy, Belgium, Brazil",country name:countries:HR_ORACLE,countries country name,"countries country name (Nigeria, India, Italy, Belgium, Brazil)"
CONCEPT_8,region id,CONCEPT_5,countries,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,,region id:countries:HR_ORACLE,countries region id,countries region id (nan)
CONCEPT_10,location id,CONCEPT_9,locations,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,"2000, 2400, 2900, 1600, 1900",location id:locations:HR_ORACLE,locations location id,"locations location id (2000, 2400, 2900, 1600, 1900)"
CONCEPT_11,street address,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Mariano Escobedo 9991, 2011 Interiors Blvd, 147 Spadina Ave, 2007 Zagora St, 1298 Vileparle (E)",street address:locations:HR_ORACLE,locations street address,"locations street address (Mariano Escobedo 9991, 2011 Interiors Blvd, 147 Spadina Ave, 2007 Zagora St, 1298 Vileparle (E))"
CONCEPT_12,postal code,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"540198, nan, 1689, 00989, 80925",postal code:locations:HR_ORACLE,locations postal code,"locations postal code (540198, nan, 1689, 00989, 80925)"
CONCEPT_13,city,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Hiroshima, Seattle, Oxford, Bombay, Tokyo",city:locations:HR_ORACLE,locations city,"locations city (Hiroshima, Seattle, Oxford, Bombay, Tokyo)"
CONCEPT_14,state province,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Texas, Oxford, Utrecht, Washington, Tokyo Prefecture",state province:locations:HR_ORACLE,locations state province,"locations state province (Texas, Oxford, Utrecht, Washington, Tokyo Prefecture)"
CONCEPT_15,country id,CONCEPT_9,locations,HR_ORACLE,0,0,0,0,0,1,0,0,0,0,"CA, IN, US, UK, DE",country id:locations:HR_ORACLE,locations country id,"locations country id (CA, IN, US, UK, DE)"
CONCEPT_17,department id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,"180, 80, 250, 60, 110",department id:departments:HR_ORACLE,departments department id,"departments department id (180, 80, 250, 60, 110)"
CONCEPT_18,department name,CONCEPT_16,departments,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Purchasing, Accounting, Retail Sales, Government Sales, Corporate Tax",department name:departments:HR_ORACLE,departments department name,"departments department name (Purchasing, Accounting, Retail Sales, Government Sales, Corporate Tax)"
CONCEPT_19,manager id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,"108, 100, 201, 205, 203",manager id:departments:HR_ORACLE,departments manager id,"departments manager id (108, 100, 201, 205, 203)"
CONCEPT_20,location id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,"1700, 2700, 1400, 1500, 2400",location id:departments:HR_ORACLE,departments location id,"departments location id (1700, 2700, 1400, 1500, 2400)"
CONCEPT_22,job id,CONCEPT_21,jobs,HR_ORACLE,0,1,0,0,1,0,0,0,0,0,"ST_CLERK, AD_PRES, FI_MGR, AD_VP, MK_MAN",job id:jobs:HR_ORACLE,jobs job id,"jobs job id (ST_CLERK, AD_PRES, FI_MGR, AD_VP, MK_MAN)"
CONCEPT_23,job title,CONCEPT_21,jobs,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Stock Manager, Shipping Clerk, Marketing Representative, Sales Representative, Public Accountant",job title:jobs:HR_ORACLE,jobs job title,"jobs job title (Stock Manager, Shipping Clerk, Marketing Representative, Sales Representative, Public Accountant)"
CONCEPT_24,min salary,CONCEPT_21,jobs,HR_ORACLE,1,0,0,0,0,0,0,0,0,0,"20080, 4500, 4000, 5500, 15000",min salary:jobs:HR_ORACLE,jobs min salary,"jobs min salary (20080, 4500, 4000, 5500, 15000)"
CONCEPT_25,max salary,CONCEPT_21,jobs,HR_ORACLE,1,0,0,0,0,0,0,0,0,0,"5500, 10500, 8500, 40000, 30000",max salary:jobs:HR_ORACLE,jobs max salary,"jobs max salary (5500, 10500, 8500, 40000, 30000)"
CONCEPT_27,employee id,CONCEPT_26,employees,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,"179, 205, 182, 159, 143",employee id:employees:HR_ORACLE,employees employee id,"employees employee id (179, 205, 182, 159, 143)"
CONCEPT_28,first name,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Girard, Michael, Daniel, Danielle, Stephen",first name:employees:HR_ORACLE,employees first name,"employees first name (Girard, Michael, Daniel, Danielle, Stephen)"
CONCEPT_29,last name,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"Kaufling, Mourgos, Grant, Zlotkey, Weiss",last name:employees:HR_ORACLE,employees last name,"employees last name (Kaufling, Mourgos, Grant, Zlotkey, Weiss)"
CONCEPT_30,email,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"RLADWIG, LSMITH, JLANDRY, GHIMURO, SMCCAIN",email:employees:HR_ORACLE,employees email,"employees email (RLADWIG, LSMITH, JLANDRY, GHIMURO, SMCCAIN)"
CONCEPT_31,phone number,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,"650.127.1934, 650.505.2876, 011.44.1345.529268, 011.44.1344.345268, 011.44.1343.629268",phone number:employees:HR_ORACLE,employees phone number,"employees phone number (650.127.1934, 650.505.2876, 011.44.1345.529268, 011.44.1344.345268, 011.44.1343.629268)"
CONCEPT_32,hire date,CONCEPT_26,employees,HR_ORACLE,0,0,1,0,0,0,0,0,0,0,"15-NOV-06, 23-FEB-08, 10-MAR-05, 26-AUG-06, 03-FEB-08",hire date:employees:HR_ORACLE,employees hire date,"employees hire date (15-NOV-06, 23-FEB-08, 10-MAR-05, 26-AUG-06, 03-FEB-08)"
