id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,concept_concat_sgtrt5_dtype_constraints,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_01lof_sgtrt5,reconstruction_error_01lof_glove,reconstruction_error_01pca2_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC,concept_concat_schema_instances_sgtrt5,reconstruction_error_zscore_sgtrt5_si,reconstruction_error_01lof_sgtrt5_si,reconstruction_error_01pca2_sgtrt5_si,reconstruction_error_01ae_v0_sgtrt5_si_b10
CONCEPT_3,region id,CONCEPT_2,regions,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,region id:regions:HR_ORACLE,regions region id,regions region id numeric primary key,0.8674633,0.7498218640231367,1.054675,1.0866894988627072,0.0511139019978422,0.042531323,868.33344,1066.3125,0.6223371248335093,0.5486101943650514,regions region id (4),0.87832814,1.1580392,0.040881176,1985.3098
CONCEPT_4,region name,CONCEPT_2,regions,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,region name:regions:HR_ORACLE,regions region name,regions region name text,0.93759793,0.7727787953506511,1.1230073,1.10240181546831,0.0477365581309385,0.047439802,854.7685,1121.8606,0.802543415400598,0.688932365213563,regions region name (Asia),0.95214003,1.1150991,0.04093052,2088.2334
CONCEPT_6,country id,CONCEPT_5,countries,HR_ORACLE,0,0,0,0,1,0,0,0,0,0,country id:countries:HR_ORACLE,countries country id,countries country id primary key,0.86899716,0.7355185487995378,1.0745503,1.1059962912672652,0.0459387027278793,0.043027956,810.324,1096.4003,0.6573061884388474,0.575723640183996,"countries country id (CH, DE, ML, JP, KW)",0.8899941,1.1120516,0.04116277,2050.1914
CONCEPT_7,country name,CONCEPT_5,countries,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,country name:countries:HR_ORACLE,countries country name,countries country name text,0.93888885,0.7590606473808743,1.0947077,1.163457301046713,0.0434796349268724,0.04777795,800.6881,1138.1232,0.8024978313500838,0.6814828355767306,"countries country name (Nigeria, India, Italy, Belgium, Brazil)",0.9778554,1.132806,0.044325765,2204.1794
CONCEPT_8,region id,CONCEPT_5,countries,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,region id:countries:HR_ORACLE,countries region id,countries region id numeric foreign key,0.88388747,0.8855664369240837,1.0597782,1.1505814631928115,0.0563868470277255,0.04373959,887.9712,1092.2142,0.6585828747969396,0.6370075238037914,countries region id (nan),0.8622443,1.0213783,0.02828511,2006.4082
CONCEPT_10,location id,CONCEPT_9,locations,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,location id:locations:HR_ORACLE,locations location id,locations location id numeric primary key,0.8453646,0.7744147118190718,1.0578275,1.0675187346386052,0.0407655201243848,0.037293885,783.5054,1035.5541,0.5276378541183944,0.4814897133632109,"locations location id (2000, 2400, 2900, 1600, 1900)",0.7944341,1.1434358,0.031847265,1813.4662
CONCEPT_11,street address,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,street address:locations:HR_ORACLE,locations street address,locations street address text,0.93113256,0.8930090817239774,1.0461612,1.029804633518196,0.0473467894130463,0.044719815,828.66644,1081.0518,0.6671627572093151,0.614936346015041,"locations street address (Mariano Escobedo 9991, 2011 Interiors Blvd, 147 Spadina Ave, 2007 Zagora St, 1298 Vileparle (E))",0.9299237,1.155853,0.038518813,2001.0204
CONCEPT_12,postal code,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,postal code:locations:HR_ORACLE,locations postal code,locations postal code text,0.89481336,0.8455037431835173,1.0302799,1.0527298684088686,0.0432768876701459,0.041985136,795.8194,1084.0146,0.6210774302040805,0.5727052776639072,"locations postal code (540198, nan, 1689, 00989, 80925)",0.8004179,1.1445254,0.03596523,1880.7117
CONCEPT_13,city,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,city:locations:HR_ORACLE,locations city,locations city text,0.90125686,0.7265171496234374,1.0377951,1.0125759913844958,0.0336972281356179,0.04009355,750.0724,1067.386,0.6166852774460521,0.5075309192681193,"locations city (Hiroshima, Seattle, Oxford, Bombay, Tokyo)",0.9954421,1.0542006,0.04404067,2147.3977
CONCEPT_14,state province,CONCEPT_9,locations,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,state province:locations:HR_ORACLE,locations state province,locations state province text,0.92255884,0.9288588858517898,1.090719,1.0512323566750366,0.0513893094119691,0.04925893,849.38916,1145.5464,0.7923818348953833,0.7632643202759608,"locations state province (Texas, Oxford, Utrecht, Washington, Tokyo Prefecture)",0.99798363,1.0911332,0.044276047,2143.581
CONCEPT_15,country id,CONCEPT_9,locations,HR_ORACLE,0,0,0,0,0,1,0,0,0,0,country id:locations:HR_ORACLE,locations country id,locations country id foreign key,0.8561461,0.7419521174998297,1.0463012,1.0299053376255367,0.0366819642903255,0.039269835,763.07544,1058.9894,0.5762856386565905,0.5070298834918707,"locations country id (CA, IN, US, UK, DE)",0.88987476,1.1096648,0.04131845,1986.4186
CONCEPT_17,department id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,department id:departments:HR_ORACLE,departments department id,departments department id numeric primary key,0.8384226,0.8011248924325001,1.0823458,1.1338908287024163,0.0421587842057959,0.04044308,809.8785,1061.5483,0.6014413055189314,0.5729112721147627,"departments department id (180, 80, 250, 60, 110)",0.80030435,1.1283875,0.033139344,1915.4218
CONCEPT_18,department name,CONCEPT_16,departments,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,department name:departments:HR_ORACLE,departments department name,departments department name text,0.9069527,0.7859238606075362,1.1100546,1.0954735266367033,0.0381385386897471,0.043534815,777.7102,1114.1534,0.7389101449553473,0.6536579944811612,"departments department name (Purchasing, Accounting, Retail Sales, Government Sales, Corporate Tax)",0.93275356,1.1479203,0.042520657,2094.0334
CONCEPT_19,manager id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,manager id:departments:HR_ORACLE,departments manager id,departments manager id numeric foreign key,0.79935026,0.833080420638451,1.0876635,1.1368662295525764,0.0440056274137831,0.035584282,823.92267,1033.2765,0.5195579542942512,0.534352663067329,"departments manager id (108, 100, 201, 205, 203)",0.693448,1.0386561,0.021620974,1767.8488
CONCEPT_20,location id,CONCEPT_16,departments,HR_ORACLE,1,0,0,0,0,1,0,0,0,0,location id:departments:HR_ORACLE,departments location id,departments location id numeric foreign key,0.77925926,0.8086735493971666,1.0450104,1.1574838251342252,0.0438749392432004,0.032418832,812.0623,1003.22754,0.4220499511295906,0.4398597581921635,"departments location id (1700, 2700, 1400, 1500, 2400)",0.7302263,1.0898545,0.024342483,1756.6171
CONCEPT_22,job id,CONCEPT_21,jobs,HR_ORACLE,0,1,0,0,1,0,0,0,0,0,job id:jobs:HR_ORACLE,jobs job id,jobs job id text primary key,0.79530936,0.9109131966366936,1.0402695,1.2194392156824212,0.0519559425463288,0.030731803,917.1183,1019.4104,0.4274341004860075,0.4818625042871988,"jobs job id (ST_CLERK, AD_PRES, FI_MGR, AD_VP, MK_MAN)",0.8432398,1.1652087,0.035208166,1902.3964
CONCEPT_23,job title,CONCEPT_21,jobs,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,job title:jobs:HR_ORACLE,jobs job title,jobs job title text,0.8773574,0.9459904381925294,1.0634351,1.3366323085402716,0.052904953530692,0.03755984,919.106,1069.5619,0.5974160518081258,0.6090629461275916,"jobs job title (Stock Manager, Shipping Clerk, Marketing Representative, Sales Representative, Public Accountant)",0.9143936,1.1150378,0.040461775,1967.2661
CONCEPT_24,min salary,CONCEPT_21,jobs,HR_ORACLE,1,0,0,0,0,0,0,0,0,0,min salary:jobs:HR_ORACLE,jobs min salary,jobs min salary numeric,0.96504015,1.0467942018583385,1.1378328,1.3298728676084908,0.0631608302385016,0.043148696,948.4407,1138.5095,0.8280698895897126,0.8238625853548939,"jobs min salary (20080, 4500, 4000, 5500, 15000)",0.8774001,1.1507561,0.036109082,1993.5875
CONCEPT_25,max salary,CONCEPT_21,jobs,HR_ORACLE,1,0,0,0,0,0,0,0,0,0,max salary:jobs:HR_ORACLE,jobs max salary,jobs max salary numeric,0.964513,1.00393574947106,1.1388897,1.3511041535120245,0.0605791153549377,0.046086237,940.92303,1145.1895,0.8480977230282966,0.8240562917840079,"jobs max salary (5500, 10500, 8500, 40000, 30000)",0.8814636,1.1800793,0.036474165,1979.5669
CONCEPT_27,employee id,CONCEPT_26,employees,HR_ORACLE,1,0,0,0,1,0,0,0,0,0,employee id:employees:HR_ORACLE,employees employee id,employees employee id numeric primary key,0.77831936,0.6131269380548626,1.0056578,0.9998103922517296,0.018667939084683,0.025523067,714.9284,981.3291,0.32261521271804,0.2488700334590592,"employees employee id (179, 205, 182, 159, 143)",0.7264126,1.0341297,0.019959213,1767.3911
CONCEPT_28,first name,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,first name:employees:HR_ORACLE,employees first name,employees first name text,0.8200728,0.7538087956235495,1.0011984,0.9974220017132068,0.0252745321776779,0.024533542,759.36554,1004.65985,0.3748931532944453,0.3373134792530601,"employees first name (Girard, Michael, Daniel, Danielle, Stephen)",0.9291725,1.1205559,0.040009182,2037.6847
CONCEPT_29,last name,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,last name:employees:HR_ORACLE,employees last name,employees last name text,0.799984,0.7344605985315682,1.0021839,0.9984069729708624,0.0232142236020342,0.02396071,739.15894,999.0435,0.3557286164828237,0.3235485040680864,"employees last name (Kaufling, Mourgos, Grant, Zlotkey, Weiss)",0.8935356,1.0546564,0.034456268,1955.78
CONCEPT_30,email,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,email:employees:HR_ORACLE,employees email,employees email text,0.87114686,0.7112159174129928,1.0162153,1.0037837327240036,0.0210899376363087,0.029081514,736.32855,1026.4487,0.4695182070460509,0.3749183093972246,"employees email (RLADWIG, LSMITH, JLANDRY, GHIMURO, SMCCAIN)",0.88597745,1.1060666,0.034399506,1940.9631
CONCEPT_31,phone number,CONCEPT_26,employees,HR_ORACLE,0,1,0,0,0,0,0,0,0,0,phone number:employees:HR_ORACLE,employees phone number,employees phone number text,0.8621548,0.8574430051053507,1.0071133,1.0038636428401282,0.0335877044484722,0.03038918,804.8291,1027.7375,0.4657093287245352,0.4465831090974825,"employees phone number (650.127.1934, 650.505.2876, 011.44.1345.529268, 011.44.1344.345268, 011.44.1343.629268)",0.8006189,1.0936509,0.03018453,1815.1443
CONCEPT_32,hire date,CONCEPT_26,employees,HR_ORACLE,0,0,1,0,0,0,0,0,0,0,hire date:employees:HR_ORACLE,employees hire date,employees hire date date,0.92595977,0.8677041106936271,1.0735682,1.0163583210594054,0.0353114483233127,0.03898556,809.1916,1128.5654,0.7056547287493826,0.6452328722532115,"employees hire date (15-NOV-06, 23-FEB-08, 10-MAR-05, 26-AUG-06, 03-FEB-08)",0.8673296,1.0946177,0.03625082,2012.6598
